2026-03-29T11:38:54 | INFO     | bot.client | <- HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-03-29T11:38:54 | ERROR    | api | Binance API error: Binance API Error [-2015]: Invalid API-key, IP, or permissions for action
2026-03-29T11:38:54 | INFO     | api | POST /api/orders  body={'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 1.0, 'price': None, 'stop_price': None, 'time_in_force': 'GTC', 'reduce_only': False}
2026-03-29T11:38:54 | INFO     | bot.orders | Placing MARKET BUY BTCUSDT  qty=1.0  price=None
2026-03-29T11:38:54 | INFO     | bot.client | -> POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '1.0', 'timestamp': 1774764534830}
2026-03-29T11:38:54 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:55 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:55 | INFO     | bot.client | <- HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-03-29T11:38:55 | ERROR    | api | Binance API error: Binance API Error [-2015]: Invalid API-key, IP, or permissions for action
2026-03-29T11:38:55 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:55 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:56 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:56 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:57 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:57 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:57 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:58 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:58 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:58 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:59 | INFO     | bot.client | -> GET /fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-03-29T11:38:59 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:38:59 | INFO     | api | POST /api/orders  body={'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 1.0, 'price': None, 'stop_price': None, 'time_in_force': 'GTC', 'reduce_only': False}
2026-03-29T11:38:59 | INFO     | bot.orders | Placing MARKET BUY BTCUSDT  qty=1.0  price=None
2026-03-29T11:38:59 | INFO     | bot.client | -> POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '1.0', 'timestamp': 1774764539390}
2026-03-29T11:38:59 | INFO     | bot.client | <- HTTP 200  body={"symbol":"BTCUSDT","price":"66825.20","time":1774764535245}
2026-03-29T11:38:59 | INFO     | bot.client | <- HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-03-29T11:38:59 | ERROR    | api | Binance API error: Binance API Error [-2015]: Invalid API-key, IP, or permissions for action
